year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-4865,9418017,9418017,55392.736205008521,4354164.3907321896,17702
-4864,9440361,9440361,56495.938575662796,4386935.3328350522,17708
-4863,9462698,9462698,55760.961744953616,4419790.3220090987,17713
-4862,9484886,9484886,56770.389529381828,4452733.5800666483,17718
-4861,9506910,9506910,55934.217842389116,4485742.794460047,17722
-4860,9529312,9529312,57250.787601408279,4518815.9582765494,17727
-4859,9551711,9551711,56219.138246919552,4551929.4685535701,17734
-4858,9574034,9574034,57413.886313466566,4585178.0110190902,17740
-4857,9596424,9596424,56229.930159046678,4618439.9618680626,17742
-4856,9618861,9618861,57781.956961214979,4651822.0593859833,17748
-4855,9641312,9641312,56053.102611466158,4685236.383575825,17750
-4854,9663733,9663733,54433.217297229727,4718645.0577718895,17752
-4853,9686228,9686228,59607.293654745336,4752305.9927080376,17753
-4852,9708636,9708636,58001.642065258697,4785908.1779727256,17759
-4851,9731096,9731096,56780.034054238822,4819588.4561724309,17761
-4850,9753187,9753187,61592.501852394591,4853454.4108590009,17764
-4849,9775164,9775164,52993.864361265638,4887178.4454744672,17768
-4848,9797137,9797137,58420.451943688953,4921164.4212275092,17774
-4847,9818977,9818977,56932.268655452805,4955129.8843079517,17776
-4846,9840947,9840947,57736.598921605953,4989172.3533827756,17780
-4845,9862999,9862999,53156.760591129896,5023154.3376208618,17782
-4844,9885185,9885185,62239.381313773905,5057475.608387677,17782
-4843,9907269,9907269,53256.504602338704,5091551.6030399799,17784
-4842,9929230,9929230,58099.113799629718,5125864.1600022856,17784
-4841,9951226,9951226,53548.660336977373,5160094.3358834954,17784
-4840,9972613,9972613,60351.160939290567,5194631.8592212787,17784
-4839,9994209,9994209,55999.867656501818,5228948.2515688324,17788
-4838,10016044,10016044,56388.924499236455,5263308.3255517725,17788
-4837,10037546,10037546,57610.218792605163,5297758.5217206106,17788
-4836,10058827,10058827,59260.94805096231,5332370.1360550756,17789
-4835,10081089,10081089,53949.905359033757,5366800.1308233291,17789
-4834,10102225,10102225,54862.736258710422,5401363.310906725,17790
-4833,10122797,10122797,63258.361971967963,5436286.8522234662,17791
-4832,10144686,10144686,55083.489648730712,5470915.8452256601,17793
-4831,10164876,10164876,54491.571409988217,5505650.5570531562,17793
-4830,10185509,10185509,57114.116303062459,5540561.8167991443,17794
-4829,10206608,10206608,61433.541571856746,5575398.4626411274,17797
-4828,10227218,10227218,54963.838741744905,5609919.1202663183,17799
-4827,10248525,10248525,56225.792737697855,5644621.2231061328,17799
-4826,10269147,10269147,55266.091141856406,5679387.0586157627,17801
-4825,10290245,10290245,58452.434633726552,5714325.0351393605,17806
-4824,10311999,10311999,55353.332923477814,5749178.1392057119,17808
-4823,10333855,10333855,56567.760858342903,5784183.8989821644,17812
-4822,10356212,10356212,55637.254589166005,5819137.5335782748,17814
-4821,10378969,10378969,54980.723500307533,5854186.0141336862,17818
-4820,10401599,10401599,55974.606736401678,5889364.9706045873,17819
-4819,10425323,10425323,57021.783810903245,5924530.0919437017,17823
-4818,10447824,10447824,55802.779858903552,5959670.8061834136,17830
-4817,10470082,10470082,55258.989323019174,5994926.256713883,17834
-4816,10493484,10493484,56151.828783604185,6030184.3005810371,17837
-4815,10516581,10516581,57510.273424936946,6065663.0958563117,17840
-4814,10540609,10540609,56424.403019854064,6101113.8175663697,17845
-4813,10563754,10563754,55829.340487932306,6136661.2507019276,17849
-4812,10586570,10586570,56707.313037517764,6172186.2496817783,17852
-4811,10607127,10607127,56095.782781900904,6207903.4443649352,17858
-4810,10629289,10629289,58928.577047077946,6243726.7555609075,17858
-4809,10650987,10650987,56410.381162621539,6279603.8673153892,17859
-4808,10673524,10673524,57154.427415920101,6315427.0038865162,17860
-4807,10695007,10695007,56661.071255893759,6351443.588745092,17865
-4806,10717306,10717306,57519.579616068237,6387463.8838327173,17867
-4805,10738549,10738549,56970.786642900734,6423668.4334043991,17871
-4804,10760713,10760713,59608.917556366345,6459933.8363663238,17873
-4803,10781224,10781224,57161.079067923427,6496291.8634051373,17876
-4802,10803226,10803226,57948.34923542881,6532626.4431205876,17885
-4801,10823933,10823933,57348.246574946097,6569191.2334727552,17888
-4800,10845365,10845365,58229.527083362307,6605706.0524711516,17892
-4799,10866086,10866086,57622.322658218793,6642450.69172413,17897
-4798,10888155,10888155,58494.140207244192,6679176.2666557608,17903
-4797,10909635,10909635,59777.214670261354,6716165.1370930439,17909
-4796,10931657,10931657,58638.770874373753,6753014.1846598219,17910
-4795,10953221,10953221,58163.416438505708,6790022.0050589126,17916
-4794,10976000,10976000,58882.064584108492,6827008.133550602,17921
-4793,10998216,10998216,58362.141128188494,6864200.7878648518,17928
-4792,11020082,11020082,59269.379158520198,6901345.5119070746,17931
-4791,11041757,11041757,58668.741049861521,6938668.7150586797,17935
-4790,11064510,11064510,59486.851892005725,6976056.1177901328,17938
-4789,11087038,11087038,58915.348080581956,7013581.2744726771,17942
-4788,11110273,11110273,59535.180290951546,7051080.3655282203,17946
-4787,11133618,11133618,59041.828138868768,7088755.0853137504,17950
-4786,11156190,11156190,59775.070812000631,7126424.2761721564,17954
-4785,11178790,11178790,59225.751642320771,7164253.7557581421,17958
-4784,11201824,11201824,59996.54137068968,7202060.3876388529,17966
-4783,11224678,11224678,59410.796559504037,7240068.4701074632,17971
-4782,11248446,11248446,60384.307414777461,7278079.598862106,17976
-4781,11272202,11272202,59855.793965338948,7316300.3072112193,17982
-4780,11295332,11295332,60776.913744859936,7354501.1717625996,17991
-4779,11319061,11319061,60132.784224617164,7392883.6557748551,17995
-4778,11342379,11342379,60874.502816623215,7431282.29452617,18000
-4777,11365894,11365894,60322.617027092587,7469829.5710436003,18005
-4776,11390004,11390004,61058.257227618873,7508324.4712493066,18008
-4775,11414374,11414374,60537.073196782316,7547041.3889594395,18014
-4774,11438996,11438996,61512.339783037642,7585718.0505815903,18016
-4773,11463521,11463521,60832.460622905666,7624588.256218845,18019
-4772,11488838,11488838,61763.134980251038,7663458.7916405238,18022
-4771,11514478,11514478,61084.07845228941,7702496.6243631132,18026
-4770,11537853,11537853,62054.681151089862,7741559.6249375958,18029
-4769,11560886,11560886,61348.286853852573,7780744.5784349525,18032
-4768,11584204,11584204,62110.283695776023,7819992.2651889622,18038
-4767,11608292,11608292,61537.17495977637,7859344.5409195889,18042
-4766,11631616,11631616,62298.45516684623,7898803.7955149394,18053
-4765,11655640,11655640,61683.082614392399,7938327.1440809425,18054
-4764,11680254,11680254,61835.039176634062,7977900.0702601923,18055
-4763,11705516,11705516,62703.108975060437,8017624.5043338072,18058
-4762,11728914,11728914,62089.186088118586,8057344.2065172344,18062
-4761,11753163,11753163,62268.395118292443,8097200.7086106865,18066
