year,worldPopulation,perCountryPopulationSum,totalGDPSum,totalStockpiles,totalTerritoryCells
-4730,12414571,12414571,63727.862141090409,9383200.0914171208,18168
-4729,12439513,12439513,64662.554112549151,9426031.4985053912,18172
-4728,12463749,12463749,64007.29635612038,9469044.7294974793,18174
-4727,12487922,12487922,64120.924168118254,9512164.513943037,18175
-4726,12511074,12511074,64116.566959474971,9555288.1340193935,18175
-4725,12534925,12534925,64226.15244163313,9598501.8052554429,18177
-4724,12559613,12559613,65167.39467757794,9641816.3794661332,18182
-4723,12584903,12584903,64464.494142951757,9685159.5746887941,18184
-4722,12609821,12609821,65320.40981465704,9728628.4002811853,18186
-4721,12635447,12635447,64712.545402393931,9772167.246561395,18190
-4720,12662063,12662063,64766.846235075689,9815700.6347102709,18191
-4719,12684815,12684815,61433.817694253084,9856425.7585543729,18192
-4718,12704562,12704562,62524.240529502385,9897176.5010889955,18192
-4717,12726330,12726330,61791.75574937959,9938003.0986200329,18197
-4716,12745276,12745276,62516.624053391024,9978909.4575610515,18201
-4715,12769558,12769558,62012.996202512462,10019885.52768549,18203
-4714,12794860,12794860,61864.20808327687,10060853.338090517,18205
-4713,12818981,12818981,62923.595384885273,10101963.21200276,18206
-4712,12842160,12842160,61864.836627867327,10143178.146165155,18208
-4711,12866327,12866327,62303.162012129258,10184509.299372571,18209
-4710,12892585,12892585,62116.042969244161,10225908.703314064,18213
-4709,12919379,12919379,62732.316819255699,10267487.653064709,18215
-4708,12948333,12948333,64519.475163378527,10309304.376184961,18220
-4707,12977034,12977034,63184.781399474916,10351159.906474898,18227
-4706,13004963,13004963,62833.799892111514,10393116.516019426,18233
-4705,13032876,13032876,63469.801276196951,10435253.513894232,18236
-4704,13063098,13063098,64290.409179659982,10477443.613708455,18238
-4703,13092364,13092364,63855.757556842414,10519760.220559796,18238
-4702,13121720,13121720,64558.63517400415,10562136.24321774,18240
-4701,13150103,13150103,64185.696410441305,10604657.017435038,18243
